name,ticker
Amundi MSCI World Information Technology UCITS ETF,TNOW
Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,XAIX
Amundi ETF Nasdaq-100 UCITS,ANX
Alerian Midstream Energy Dividend,MMLP
Amundi Bloomberg Equal-weight Commodity ex-Agricul,COMH
Amundi CAC 40 UCITS,C40
Amundi DAX UCITS,CG1
Amundi ETF Cash 3 Months EuroMTS Investment Grade,C3M
Amundi ETF Euro Stoxx 50 UCITS,C50
Amundi ETF FTSE EPRA Europe Real Estate UCITS,EPRE
Amundi ETF FTSE MIB UCITS,FMI
Amundi ETF Global Emerging Bond Markit iBoxx UCITS,AGEB
Amundi ETF Govt Bond EuroMTS Broad Investment Grad,CB3
Amundi ETF Govt Bond Highest Rated EuroMTS Investm,AM3A
Amundi ETF Govt Bond Lowest Rated EuroMTS Investme,X1G
Amundi ETF Govt Bond Lowest Rated EuroMTS Investme,X13G
Amundi ETF Japan Topix EUR Hedged Daily UCITS,TPXH
Amundi ETF Leveraged MSCI USA Daily UCITS,CL2
Amundi ETF MSCI Emerging Markets UCITS,AEEM
Amundi ETF MSCI Europe Value UCITS,VCEU
Amundi ETF MSCI Japan UCITS,CJ1
Amundi ETF MSCI Nordic UCITS,CN1
Amundi ETF MSCI Pacific Ex Japan UCITS,CP9
Amundi ETF MSCI World Energy UCITS,CWE
Amundi ETF MSCI World Ex EMU UCITS,CM9
Amundi ETF Nasdaq-100 EUR Hedged Daily UCITS,NDXH
Amundi ETF Nasdaq-100 UCITS,ANX
Amundi ETF Russell 2000 UCITS,RS2K
Amundi ETF S&P Global Luxury UCITS,GLUX
Amundi EUR High Yield Corporate Bond ESG UCITS Dis,HY
Amundi Euro Corporates UCITS,CC4
Amundi Euro Government Bond 10-15Y UCITS Acc,EM1015
Amundi Euro Government Bond 7-10Y,EM710
Amundi Euro Government Inflation-Linked Bond UCITS,MTI
Amundi EURO High Yield Bond ESG - UCITS DR - EUR (,AHYE
Amundi EURO High Yield Bond ESG UCITS EUR Dist,HYBB
Amundi Floating Rate Euro Corporate,AFRN
Amundi Floating Rate USD Corp Hedged EUR,HFRN
Amundi Floating Rate USD Corporate,USFRN
Amundi FTSE EPRA Europe Real Estate UCITS D,REEU
Amundi Index MSCI Emerging Markets SRI UCITS,EMSRI
Amundi Index Solutions - Amundi Index Euro Corpora,ECRP3
Amundi Index Solutions - Amundi Index US Corp SRI,UCRP
Amundi Index Solutions - Amundi MSCI EMU ESG CTB N,MFDD
Amundi Index Solutions - Amundi MSCI Europe SRI UC,EUSRI
Amundi Index Solutions - Amundi Prime Euro Corpora,ETFCOR
Amundi Index Solutions - Amundi Prime Euro Govies,ETFGOV
Amundi Index Solutions - Amundi Prime Europe UCITS,ETFEU
Amundi Index Solutions - Amundi Prime Eurozone UCI,ETFEZ
Amundi Index Solutions - Amundi Prime Global Govie,ETFGG
Amundi Index Solutions - Amundi Prime Japan UCITS,ETFJAP
Amundi Index Solutions - Amundi Prime US Treasury,ETFUST
